rank_2024,rank_2023,rank_2022,rank_2021,rank_2020,rank_2019,Firma,Miejscowość,GPW,Rok założenia (KRS),Rok założenia  biznesu w,REGON,KRS,NIP,Forma prawna,PK,Opis,Lista200,Rodzaj właściciela,S/J,year,current_assets,depreciation,employment,equity,exports,fixed_assets,gross_profit,income_tax,liabilities_and_provisions,net_profit,operating_profit,sales,total_assets,total_liabilities,wages_total
310.0,252,182.0,190.0,280.0,256.0,"Cognor Holding GK, Poraj",Poraj,SG),1991,2004.0,12859760,71799.0,1181234296,SA,2410,"Produkcja surówki, żelazostopów, żeliwa i stali oraz wyrobów hutniczych",górnictwo i hutnictwo,400,S,2019,564482.0,46236.0,2026.0,277191.0,520531.0,487249.0,22333.0,,,19772.0,54592.0,1901604.0,1051731.0,774540.0,181613.0
310.0,252,182.0,190.0,280.0,256.0,"Cognor Holding GK, Poraj",Poraj,SG),1991,2004.0,12859760,71799.0,1181234296,SA,2410,"Produkcja surówki, żelazostopów, żeliwa i stali oraz wyrobów hutniczych",górnictwo i hutnictwo,400,S,2020,516681.0,47708.0,1898.0,307014.0,896075.257,514518.0,32270.0,,724185.0,33546.0,66527.0,1733221.0,1031199.0,,174045.0
310.0,252,182.0,190.0,280.0,256.0,"Cognor Holding GK, Poraj",Poraj,SG),1991,2004.0,12859760,71799.0,1181234296,SA,2410,"Produkcja surówki, żelazostopów, żeliwa i stali oraz wyrobów hutniczych",górnictwo i hutnictwo,400,S,2021,940676.0,50620.0,1936.0,643869.0,727094.0,564496.0,452630.0,,861303.0,363526.0,467754.0,2811151.0,1505172.0,,205021.0
310.0,252,182.0,190.0,280.0,256.0,"Cognor Holding GK, Poraj",Poraj,SG),1991,2004.0,12859760,71799.0,1181234296,SA,2410,"Produkcja surówki, żelazostopów, żeliwa i stali oraz wyrobów hutniczych",górnictwo i hutnictwo,400,S,2022,1342661.0,11179.0,1902.0,1228431.0,1280898.0,740355.0,728704.0,,854585.0,610373.0,722726.0,3666690.0,2083016.0,,242135.0
310.0,252,182.0,190.0,280.0,256.0,"Cognor Holding GK, Poraj",Poraj,SG),1991,2004.0,12859760,71799.0,1181234296,SA,2410,"Produkcja surówki, żelazostopów, żeliwa i stali oraz wyrobów hutniczych",górnictwo i hutnictwo,400,S,2023,1092139.0,47158.0,1959.0,1241210.0,1146828.0,1181785.0,264996.0,,1032714.0,235808.0,203306.0,2721524.0,2273924.0,,188370.0
310.0,252,182.0,190.0,280.0,256.0,"Cognor Holding GK, Poraj",Poraj,SG),1991,2004.0,12859760,71799.0,1181234296,SA,2410,"Produkcja surówki, żelazostopów, żeliwa i stali oraz wyrobów hutniczych",górnictwo i hutnictwo,400,S,2024,1012020.0,48834.0,1889.0,1179510.0,919574.0,1614419.0,-69168.0,-11648.0,1446929.0,-57520.0,-25991.0,2293369.0,2626439.0,,251246.0
21.0,24,28.0,31.0,42.0,38.0,"Inter Cars SA GK, Warszawa",Warszawa,SG),1990,2001.0,14992887,8734.0,1181452946,SA,4531,"Sprzedaż hurtowa części i akcesoriów do pojazdów samochodowych, z wyłączeniem motocykli",motoryzacja,400,S,2019,3225027.0,130200.0,3337.5,2046687.0,4110508.0,1198866.0,279529.0,,,227096.0,331943.0,8764261.0,4423893.0,2377206.0,330980.0
21.0,24,28.0,31.0,42.0,38.0,"Inter Cars SA GK, Warszawa",Warszawa,SG),1990,2001.0,14992887,8734.0,1181452946,SA,4531,"Sprzedaż hurtowa części i akcesoriów do pojazdów samochodowych, z wyłączeniem motocykli",motoryzacja,400,S,2020,3464910.0,131150.0,3337.0,2395496.0,4657760.0,1213941.0,444474.0,,2283355.0,333320.0,507076.0,9159166.0,4678851.0,,309868.0
21.0,24,28.0,31.0,42.0,38.0,"Inter Cars SA GK, Warszawa",Warszawa,SG),1990,2001.0,14992887,8734.0,1181452946,SA,4531,"Sprzedaż hurtowa części i akcesoriów do pojazdów samochodowych, z wyłączeniem motocykli",motoryzacja,400,S,2021,5099370.0,130011.0,3819.0,3089684.0,6516345.0,1183296.0,877242.0,,3192982.0,699580.0,908713.0,12242047.0,6282666.0,,397071.0
21.0,24,28.0,31.0,42.0,38.0,"Inter Cars SA GK, Warszawa",Warszawa,SG),1990,2001.0,14992887,8734.0,1181452946,SA,4531,"Sprzedaż hurtowa części i akcesoriów do pojazdów samochodowych, z wyłączeniem motocykli",motoryzacja,400,S,2022,6555300.0,154976.0,3966.0,3815725.0,8376816.0,1450241.0,925800.0,,4189816.0,745698.0,1042232.0,15285101.0,8005541.0,,486253.0
